,All_Seats,Torque_force,Car_Prices,Performance,Total_speed,Horse_Power,CC
988,5.0,400.0,45000.0,6.0,235,300,1598.0
989,7.0,400.0,48000.0,6.0,210,300,1598.0
990,5.0,230.0,28000.0,9.0,200,130,1199.0
991,5.0,260.0,25000.0,12.0,170,100,1560.0
992,3.0,320.0,30000.0,13.0,160,120,1997.0
993,3.0,350.0,35000.0,14.0,140,130,2200.0
994,5.0,260.0,40000.0,9.0,130,136,0.0
995,5.0,260.0,45000.0,9.0,130,136,0.0
996,5.0,360.0,45000.0,5.0,250,225,1598.0
997,5.0,520.0,55000.0,5.0,250,360,1598.0
998,5.0,520.0,60000.0,5.0,250,360,1598.0
999,5.0,400.0,50000.0,6.0,235,300,1598.0
1000,5.0,205.0,22000.0,11.0,190,100,1199.0
1001,5.0,240.0,30000.0,10.0,200,130,1499.0
1002,7.0,240.0,33000.0,10.0,190,130,1499.0
1003,5.0,240.0,32000.0,9.0,200,130,1499.0
1004,7.0,240.0,35000.0,10.0,190,130,1499.0
1005,5.0,250.0,35000.0,8.0,210,180,1598.0
1006,7.0,250.0,38000.0,9.0,200,180,1598.0
1007,5.0,230.0,25000.0,9.0,200,130,1199.0
1008,7.0,250.0,40000.0,8.0,210,180,1598.0
1009,5.0,300.0,35000.0,8.0,220,180,1598.0
1010,5.0,300.0,37000.0,8.0,210,180,1598.0
1011,5.0,230.0,28000.0,9.0,200,130,1199.0
1012,5.0,115.0,20000.0,12.0,180,82,1199.0
1013,5.0,205.0,22000.0,11.0,190,100,1199.0
1014,5.0,200.0,0.0,7.0,220,160,1500.0
1015,5.0,300.0,0.0,6.0,220,200,2000.0
1016,5.0,130.0,0.0,7.0,200,85,1000.0
1017,5.0,150.0,0.0,6.0,220,120,1000.0
1018,5.0,100.0,0.0,10.0,165,70,1200.0
1019,5.0,170.0,0.0,9.0,180,123,1000.0
1020,5.0,230.0,0.0,7.0,190,181,1500.0
1021,5.0,400.0,0.0,6.0,200,250,2000.0
1022,7.0,420.0,0.0,6.0,200,300,2300.0
1023,8.0,650.0,0.0,6.0,180,375,3500.0
1024,4.0,400.0,0.0,7.0,200,275,2300.0
1025,5.0,250.0,0.0,7.0,185,181,1500.0
1026,5.0,400.0,0.0,5.0,200,290,3300.0
1027,5.0,700.0,0.0,6.0,180,385,6200.0
1028,5.0,1.0,0.0,7.0,180,450,6700.0
1029,5.0,250.0,0.0,6.0,180,191,2500.0
1030,5.0,400.0,0.0,6.0,180,270,2300.0
1031,5.0,430.0,0.0,3.0,180,290,68.0
1032,5.0,1051.0,0.0,4.0,180,452,98.0
1033,5.0,210.0,0.0,7.0,180,200,2500.0
1034,7.0,500.0,0.0,7.0,180,318,3300.0
1035,4.0,530.0,55000.0,4.0,250,450,5000.0
1036,2.0,746.0,500000.0,3.0,348,660,3500.0
1037,5.0,420.0,30000.0,5.0,250,280,2300.0
1038,5.0,290.0,23000.0,6.0,230,200,1500.0
1039,4.0,583.0,70000.0,5.0,220,400,3000.0
1040,5.0,583.0,45000.0,6.0,200,392,2700.0
1041,5.0,691.0,70000.0,5.0,200,450,3500.0
1042,5.0,200.0,28000.0,9.0,191,123,1000.0
1043,5.0,225.0,32000.0,11.0,180,140,1500.0
1044,7.0,500.0,52000.0,10.0,190,210,2000.0
1045,7.0,345.0,31000.0,7.0,200,287,3500.0
1046,0.0,405.0,43455.0,12.0,160,170,2000.0
1047,0.0,200.0,29365.0,10.0,175,162,2000.0
1048,0.0,1.0,61625.0,8.0,165,475,6700.0
1049,0.0,1.0,64540.0,8.0,165,475,6700.0
1050,2.0,847.0,79420.0,3.0,290,760,5200.0
